event_date,asset_id,asset_type,failure_mode,downtime_hours,repair_hours,operating_hours,vibration_mm_s,temperature_c,load_pct,lubrication_gap_days,alignment_error_mm
2025-01-03,PMP-101,Pump,Bearing Wear,4.2,2.8,420,6.8,78,82,16,0.48
2025-01-08,PMP-101,Pump,Seal Leak,3.0,2.1,390,6.4,76,79,14,0.44
2025-01-14,PMP-101,Pump,Cavitation,5.5,3.4,450,7.3,81,84,18,0.56
2025-02-01,PMP-101,Pump,Bearing Wear,4.8,3.0,430,7.0,79,83,17,0.50
2025-02-19,PMP-101,Pump,Seal Leak,2.7,1.9,410,6.2,75,80,14,0.43
2025-01-06,FAN-202,Fan,Imbalance,2.1,1.5,520,5.1,70,67,12,0.29
2025-01-20,FAN-202,Fan,Bearing Wear,2.9,1.8,510,5.4,72,69,13,0.32
2025-02-15,FAN-202,Fan,Imbalance,2.4,1.6,530,5.2,71,68,12,0.30
2025-03-04,FAN-202,Fan,Belt Slip,1.8,1.2,540,4.8,69,66,11,0.27
2025-03-22,FAN-202,Fan,Bearing Wear,3.2,2.0,505,5.6,73,70,13,0.33
2025-01-11,CPR-310,Compressor,Overheat,6.4,4.1,360,8.9,92,88,22,0.73
2025-01-28,CPR-310,Compressor,Bearing Wear,7.1,4.6,340,9.3,95,90,24,0.81
2025-02-10,CPR-310,Compressor,Overload Trip,8.3,5.1,320,9.7,97,94,25,0.86
2025-02-27,CPR-310,Compressor,Valve Fault,6.8,4.4,350,9.1,93,91,23,0.78
2025-03-16,CPR-310,Compressor,Overheat,7.5,4.9,330,9.4,96,92,24,0.84
2025-01-05,MTR-415,Motor,Insulation Fault,3.6,2.5,470,6.0,80,77,15,0.41
2025-01-25,MTR-415,Motor,Bearing Wear,3.9,2.6,460,6.2,82,78,16,0.46
2025-02-08,MTR-415,Motor,Overload Trip,4.7,3.0,440,6.6,84,81,17,0.49
2025-02-26,MTR-415,Motor,Insulation Fault,3.4,2.3,480,5.9,79,76,15,0.40
2025-03-20,MTR-415,Motor,Bearing Wear,4.3,2.9,450,6.4,83,80,17,0.47
2025-01-09,PMP-118,Pump,Seal Leak,2.2,1.4,500,4.9,71,68,11,0.26
2025-01-24,PMP-118,Pump,Cavitation,3.1,2.0,490,5.5,74,72,12,0.31
2025-02-13,PMP-118,Pump,Bearing Wear,3.4,2.2,470,5.8,76,74,13,0.35
2025-02-28,PMP-118,Pump,Seal Leak,2.0,1.3,505,4.7,70,67,11,0.25
2025-03-18,PMP-118,Pump,Cavitation,3.0,1.9,495,5.4,73,71,12,0.30
2025-01-12,FAN-240,Fan,Belt Slip,1.5,1.0,560,4.3,66,63,10,0.21
2025-01-30,FAN-240,Fan,Imbalance,1.9,1.3,550,4.6,68,64,11,0.24
2025-02-16,FAN-240,Fan,Bearing Wear,2.6,1.7,540,5.0,69,66,11,0.28
2025-03-02,FAN-240,Fan,Belt Slip,1.6,1.1,565,4.2,65,62,10,0.20
2025-03-25,FAN-240,Fan,Imbalance,2.1,1.4,555,4.7,67,65,11,0.23
2025-01-18,CPR-355,Compressor,Overheat,5.9,3.7,380,8.1,89,86,20,0.67
2025-02-03,CPR-355,Compressor,Valve Fault,5.1,3.3,395,7.8,88,84,19,0.62
2025-02-18,CPR-355,Compressor,Overload Trip,6.3,4.0,370,8.4,90,87,21,0.70
2025-03-10,CPR-355,Compressor,Bearing Wear,5.4,3.5,385,8.0,89,85,20,0.65
2025-03-27,CPR-355,Compressor,Overheat,6.0,3.9,375,8.3,91,88,21,0.68
2025-01-15,MTR-490,Motor,Overload Trip,2.8,1.9,520,5.3,74,70,12,0.30
2025-02-06,MTR-490,Motor,Bearing Wear,3.1,2.0,510,5.6,75,71,13,0.33
2025-02-22,MTR-490,Motor,Insulation Fault,2.5,1.7,530,5.0,73,69,12,0.28
2025-03-12,MTR-490,Motor,Overload Trip,2.9,1.9,515,5.4,74,70,13,0.31
2025-03-30,MTR-490,Motor,Bearing Wear,3.3,2.1,505,5.7,76,72,13,0.34

